,0,1,2,3,4,5,6,7
98,2025 남구 숏폼 영상 공모전,영상/UCC/사진,제한없음,대구광역시 남구,2025-04-15 ~ 2025-07-15,1천만원이하,100만원,
99,Ansys Simulation Challenge 2025 - 시뮬레이션 소프트웨어 활용 공모전,과학/공학,대학생,앤시스코리아,2025-04-14 ~ 2025-05-23,1천만원이하,300만원,
100,2025년 강릉시 규제혁신 아이디어 공모전,기획/아이디어,제한없음,강릉시,2025-04-15 ~ 2025-05-14,1천만원이하,50만원,
101,2025 유성구 영상·숏폼 공모전,영상/UCC/사진,제한없음,유성구청,2025-04-21 ~ 2025-08-24,1천만원이하,,
102,제17회 창원 그린엑스포 창원 환경 쇼츠영상 공모전,영상/UCC/사진,기타,창원YMCA,2025-04-24 ~ 2025-05-25,다양한 혜택,,
103,2025 스마트 조선해양 기술공모전,과학/공학,기타,"울산창조경제혁신센터, HD 현대중공업",2025-04-16 ~ 2025-05-23,3천만원~1천만원,"1,000만원",
104,대학생 창작 에세이 공모전,문학/글/시나리오,대학생,아로새김,2025-04-20 ~ 2025-05-31,1천만원이하,,
105,제1회 픽콕어워즈 릴스 콘텐츠 공모전,광고/마케팅,제한없음,제이비스퀘어,2025-04-10 ~ 2025-05-14,다양한 혜택,,
106,제12회 해양수산 비즈니스･공공서비스 공모전,기획/아이디어,제한없음,해양수산부,2025-04-18 ~ 2025-06-20,1천만원이하,,
107,제4회 경기도 인권 작품공모전,예체능/미술/음악,제한없음,경기도,2025-04-15 ~ 2025-06-13,3천만원~1천만원,200만원,
108,2025년 재난안전산업 신기술 공모전,과학/공학,기타,광주광역시,2025-04-10 ~ 2025-06-18,1천만원이하,300만원,
109,제1회 망우열전 대본공모전,문학/글/시나리오,제한없음,중랑문화재단,2025-04-01 ~ 2025-10-31,1천만원이하,400만원,
110,2025년 한일병원 어린이 그림 공모전,디자인/캐릭터/웹툰,어린이,한전의료재단 한일병원,2025-04-21 ~ 2025-05-26,1천만원이하,,
111,루솔 완밥특공대 루루팡 로고송 공모전,예체능/미술/음악,제한없음,에르코스,2025-04-14 ~ 2025-06-01,1천만원이하,100만원,
112,2025 제 1회 SPERRY 신발 디자인 공모전,디자인/캐릭터/웹툰,"일반인, 대학생",주식회사 크리드네트웍스,2025-04-18 ~ 2025-05-31,1천만원이하,300만원,
113,2025 현실 광산 라이프 나 광산 산다 광산구 홍보 영상 공모전,영상/UCC/사진,제한없음,광산구청,2025-04-18 ~ 2025-06-16,1천만원이하,200만원,
114,제11회 철도문학상 공모전,문학/글/시나리오,"제한없음, 기타",국토교통부,2025-04-21 ~ 2025-06-01,3천만원~1천만원,300만원,
115,2025 광주광역시 관광활성화 관광상품 공모전,예체능/미술/음악,기타,한국관광공사,2025-04-21 ~ 2025-05-09,다양한 혜택,,
116,해커스 그래머 게이트웨이 광고 공모전,광고/마케팅,제한없음,해커스톡,2025-04-16 ~ 2025-05-31,1천만원이하,500만원,
117,2025 서울교통공사 사진·캘리그라피 공모전,영상/UCC/사진,"일반인, 대학생",서울교통공사,2025-04-18 ~ 2025-05-08,3천만원~1천만원,300만원,
118,독한공부입시학원의 새로운 이름을 찾아주세요 (네이밍 공모전),네이밍/슬로건,기타,독한공부입시학원,2025-04-14 ~ 2025-05-06,1천만원이하,100만원,
119,2025년 우리가 바라는 안전한 학교 공모전,예체능/미술/음악,제한없음,교육부 외,2025-04-03 ~ 2025-05-30,3천만원~1천만원,100만원,
120,현실공포 단편소설 공모전 (제1회 소설 공모전),문학/글/시나리오,"제한없음, 기타",하이스트 출판사,2025-04-17 ~ 2025-05-08,1천만원이하,200만원,
121,2025 희망달서 사진공모전,영상/UCC/사진,제한없음,대구광역시 달서구,2025-04-21 ~ 2025-06-02,1천만원이하,150만원,
122,2025년 지역학 콘텐츠 공모전 (제5회 옛 서구마을 상상화 그리기대회),예체능/미술/음악,"어린이, 기타",인천광역시 서구문화원,"인천광역시 서구/ 협찬 : 인천광역시 서구의회, 인천서부교육지원청",2025-04-14 ~ 2025-05-14,다양한 혜택,
123,2025 애니메이션 기획개발 공모전,예체능/미술/음악,기타,한국콘텐츠진흥원,2025-04-18 ~ 2025-05-15,다양한 혜택,,
124,제7회 토양사랑 사진 공모전,영상/UCC/사진,제한없음,사단법인 한국토양비료학회,2025-04-21 ~ 2025-06-30,1천만원이하,50만원,
125,2025 울산대학교 마스코트 캐릭터 공모전,디자인/캐릭터/웹툰,제한없음,울산대학교 ,2025-04-17 ~ 2025-05-22,1천만원이하,400만원,
126,"제24회 흥남철수 거제평화문학상 공모전 작품(독후감, 시, 수필)",문학/글/시나리오,제한없음,"거제문화예술재단, 거암(巨巖)문화재단",2025-04-10 ~ 2025-09-30,1천만원이하,200만원,
127,"2025년 이형기문학제 (디카시, 시낭송, 문학상) 공모전",문학/글/시나리오,"제한없음, 기타",이형기시인기념사업회,2025-04-01 ~ 2025-05-15,다양한 혜택,,
128,2025 국민생각함 정책 아이디어 공모전,기획/아이디어,"일반인, 대학생, 청소년, 기타",국민권익위원회,2025-04-14 ~ 2025-06-13,1천만원이하,100만원,
129,제3회 정읍 웹툰 공모전,디자인/캐릭터/웹툰,제한없음,정읍시,2025-04-14 ~ 2025-06-30,1천만원이하,500만원,
130,2025년 제3회 수목원·식물원 우수교육프로그램 공모전,기타,기타,한국수목원정원관리원,2025-04-09 ~ 2025-05-08,1천만원이하,200만원,
131,2025년도 제40회 은평구 어린이 글짓기・그리기 공모전,예체능/미술/음악,"어린이, 기타",은평구,2025-04-16 ~ 2025-05-09,다양한 혜택,,
132,제4회 서울특별시의회 청년 학술논문 공모전,논문/리포트,"일반인, 대학생, 기타",서울특별시의회,2025-04-09 ~ 2025-09-30,1천만원이하,200만원,
133,여수시도시관리공단 2025년 지역소멸･저출생 극복 아이디어 공모전,기획/아이디어,제한없음,여수시도시관리공단,2025-04-15 ~ 2025-05-14,1천만원이하,15만원,
